Distance ratio,Position squeezing (dB),Estimated physical threshold,Crossing spread,Change from 0 dB (%),Pair crossings
2:1,0.0,0.1396858051932409,0.004597888668972733,0.0,"0.1374, 0.1397, 0.1420"
2:1,0.25,0.141897598344894,0.0015661934795803967,1.583405807478644,"0.1409, 0.1423, 0.1425"
2:1,0.5,0.1414159009832293,0.002277949789319056,1.2385623489766795,"0.1426, 0.1403, 0.1414"
2:1,0.75,0.12798924706136705,0.023974039026210398,-8.373476543083857,"0.1366, 0.1347, 0.1127"
2:1,1.0,0.11244301735964979,0.026584230566204847,-19.502903531180937,"0.1270, 0.1099, 0.1004"
2:1,1.25,0.09735937497858323,0.022690564008971972,-30.301167793036242,"0.1119, 0.0892, 0.0909"
2:1,1.5,0.08613115260464836,0.018924789849934467,-38.33936634757211,"0.0969, 0.0836, 0.0780"
3:1,-0.5,0.1316342335946929,0.06597296305250633,-4.0655824953397035,"0.1055, 0.1179, 0.1715"
3:1,-0.25,0.12565960083785083,0.00734352931822696,-8.419867073747545,"0.1227, 0.1242, 0.1301"
3:1,0.0,0.1372127303408064,0.012677161910614299,0.0,"0.1307, 0.1358, 0.1434, 0.1389"
3:1,0.125,0.14128683382540044,0.013622754960194161,2.9691876799440298,"0.1342, 0.1479, 0.1418"
3:1,0.25,0.14126429766373821,0.006002385736503413,2.952763430090366,"0.1376, 0.1419, 0.1436, 0.1419"
3:1,0.375,0.1440602434000644,0.006822164782326473,4.990435684976391,"0.1397, 0.1460, 0.1465"
3:1,0.5,0.14343338504102393,0.004009084589473633,4.5335842270369575,"0.1419, 0.1457, 0.1445, 0.1417"
3:1,0.75,0.14070107841715312,0.009327623279384106,2.542291861463908,"0.1436, 0.1450, 0.1385, 0.1357"
3:1,1.0,0.13142406865719108,0.028363231627105343,-4.218749724779569,"0.1431, 0.1364, 0.1148"
5:2,-0.5,0.11541383171469734,0.01817424631661979,-15.538903170799589,"0.1048, 0.1230, 0.1184"
5:2,-0.25,0.12461995784802266,0.00921093984727106,-8.801759977332557,"0.1197, 0.1289, 0.1253"
5:2,0.0,0.13664732764256,0.009616229398240639,0.0,"0.1312, 0.1364, 0.1381, 0.1408"
5:2,0.125,0.1399301080080753,0.009088250451540214,2.4023743619065563,"0.1370, 0.1369, 0.1459"
5:2,0.25,0.14202622370911644,0.006674561484953878,3.9363346209202676,"0.1380, 0.1430, 0.1424, 0.1447"
5:2,0.375,0.14285312548575457,0.005990477119388049,4.5414703311488225,"0.1408, 0.1468, 0.1410"
5:2,0.5,0.14182072320474465,0.004427841417935258,3.785947117617372,"0.1415, 0.1440, 0.1423, 0.1395"
5:2,0.75,0.1375995581684519,0.014303482011771618,0.6968526515079398,"0.1432, 0.1405, 0.1377, 0.1289"
5:2,1.0,0.129021354225625,0.03584975252764441,-5.580770256175738,"0.1437, 0.1356, 0.1078"
5:3,0.0,0.14027159719190826,0.0062359122519286825,0.0,"0.1377, 0.1392, 0.1439"
5:3,0.25,0.14053689182392948,0.0052276467552681005,0.1891292587609561,"0.1409, 0.1430, 0.1377"
5:3,0.5,0.13868039812237934,0.005026921128932299,-1.1343701086913405,"0.1406, 0.1398, 0.1356"
5:3,0.75,0.12442844983375169,0.018457916350637926,-11.294622486176776,"0.1353, 0.1211, 0.1169"
5:3,1.0,0.10779293054923585,0.022590604213758372,-23.15412905596115,"0.1209, 0.1042, 0.0983"
